Name;Schl;Descriptor;Level;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Short Description
Circle of Death;Necr;Death;6;1 standard action;Medium (100 ft. + 10 ft./level);Area;Several living creatures within a 40-ft.-radius burst;Instantaneous;Fortitude negates;Kills 1d4/level HD of creatures.
City Lights;Evoc;Light;2;1 standard action;60 ft.;Area;60-ft.-radius burst;Instantaneous;Fortitude partial;Absorb nearby light to release as blinding flare.
Clairaudience/Clairvoyance;Div;;3;10 minutes;Long (400 ft. + 40 ft./level);Effect;Magical sensor;1 min./level (D);None;Hear or see at a distance for 1 min./level.
Clearstone;Tran;Earth;3;1 standard action;Touch;Target;Stone or stone object touched, up to 1 cu. ft./level;1 min./level (D);None;Makes rock or stone transparent.
Clenched Fist;Evoc;Force;8;1 standard action;Medium (100 ft. + 10 ft./level);Effect;10-ft. hand;1 round/level (D);None;Large hand provides cover, pushes, or attacks your foes.
Cloak of the Sea;Tran;;6;1 standard action;Touch;Target;Creature touched;1 hour/level (D);Will negates (harmless);Gain blur, freedom of movement, and water breathing while in water.
Cloak Pool;Illu;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One color pool;1 hour/level (D);Will negates (harmless, object);Hide a color pool on the Astral Plane from view.
Clone;Necr;;8;10 minutes;0 ft.;Effect;One clone;Instantaneous;None;Duplicate awakens when original dies.
Cloud of Knives;Conj;;2;1 standard action;Personal;Target;You;1 round/level;;Release one knife/round, 1d6 damage +1/3 levels (max +5).
Coldscream;Evoc;Cold, Sonic;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;Cone;Instantaneous;Reflex half;Deal 1d6/level (max 10d6) sonic and cold (half each) damage in a cone.
Column of Ice;Conj;Cold;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One column of ice, 10-ft. radius and 5 ft./level in height;Permanent;Reflex negates;Column of ice erupts from ground, lifting anything in its area into the air.
Coma;Ench;Mind-Affecting;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 hour/level;Fortitude negates;You put a living creature in a coma.
Comprehend Languages;Div;;1;1 standard action;Personal;Target;You;10 min./level;;You understand all spoken and written languages.
Conditional Spell;Evoc;;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;1 creature or object;Permanent until triggered;None;See Text
Cone of Cold;Evoc;Cold;5;1 standard action;60 ft.;Area;Cone-shaped burst;Instantaneous;Reflex half;1d6/level cold damage.
Confusion;Ench;Mind-Affecting;4;1 standard action;Medium (100 ft. + 10 ft./level);Targets;All creatures in a 15-ft. radius burst;1 round/level;Will negates;For 1 round/level, subject will attack caster 10%, act normally 10%, babble 30%, flee 20%, attack nearest creature 30%.
Conjure Greater Midnight Construct;Conj;Incarnum;8;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One conjured midnight construct;1 round/level (D);None;As conjure lesser midnight construct, except conjure a greater midnight construct instead with more essentia options.
Conjure Lesser Midnight Construct;Conj;Incarnum;4;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One conjured midnight construct;1 round/level (D);None;Create a lesser midnight construct.
Conjure Midnight Construct;Conj;Incarnum;6;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One conjured midnight construct;1 round/level (D);None;As conjure lesser midnight construct, except conjure a midnight construct instead with more essentia options.
Conjurer's Toolbelt;Conj;Creation;0;1 standard action;0 ft.;Effect;Conjures an unattened, nonmagical object weighing no more than 1 lb. and being no longer than 1 cubic foot in size.;1 min./level;None;Creates a tool.
Construct Essence;Tran;;5;1 standard action;Touch;Target;Living construct touched;1 min./level;Will negates (harmless);As lesser construct essence, but grants more qualities of the construct type.
Contact Other Plane;Div;;5;10 minutes;Personal;Target;You;Concentration;;Lets you ask question of extraplanar entity.
Contagion;Necr;Evil;4;1 standard action;Touch;Target;Living creature touched;Instantaneous;Fortitude negates;Infects subject with chosen disease.
Contagious Fog;Conj;;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Cloud spreads in a 20-ft. radius, 20 ft. high.;1 round/level;See text;20-ft.-radius cloud of fog inflicts disease.
Contingent Energy Resistance;Abj;;5;1 minute;Personal;Target;You;1 hour/level (D);;Energy damage triggers a resist energy spell.
Continual Flame;Evoc;Light;2;1 standard action;Touch;Effect;Magical, heatless flame;Permanent;None;Makes a permanent, heatless torch.
Control Darkness and Shadow;Tran;Darkness;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;Shadows in one 5-ft. cube/level;Concentration + 1 round/level;None;Manipulate existing areas of darkness and shadow.
Control Elemental;Ench;Mind-Affecting;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One elemental with HD no greater than twice your caster level;1 min./level;Will negates;Gain control of an elemental creature
Control Temperature;Tran;Cold, Fire;3;1 round;20 ft./level;Area;20 cu. ft./level emanation, centered on you;1 hour/level;None;Raise or lower temperature by one band/5 levels.
Control Undead;Necr;;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;Up to 2 HD/level of undead creatures, no two of which can be more than 30 ft. apart;1 min./level;Will negates;Undead don't attack you while under your command.
Corporeal Instability;Tran;;4;1 standard action;Touch;Target;Living creature touched;1 round/level (D);Fortitude negates;Transform a target creature into an amorphous mass.
Corpse Candle;Conj;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ghostly hand and candle;1 min./level (D);None;Incorporeal hand and candle reveals hidden creatures and objects.
Corrosive Grasp;Conj;Acid;1;1 standard action;Touch;Targets;Creatures touched;Instantaneous;None;You deal 1d8 acid damage with one touch/level
Create Fetch;Conj;;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;A duplicate of yourself;10 min./level;None;Craft a temporary duplicate of yourself that follows telepathic orders.
Create Greater Undead;Necr;Evil;8;1 hour;Close (25 ft. + 5 ft./2 levels);Target;One corpse;Instantaneous;None;Create shadows, wraiths, spectres, or devourers.
Create Magic Tattoo;Conj;;2;10 minutes;Touch;Target;Creature touched;1 day;None;Subject receives a magic tattoo with various effects.
Create Undead;Necr;Evil;6;1 hour;Close (25 ft. + 5 ft./2 levels);Target;One Corpse;Instantaneous;None;Creates ghouls, ghasts, mummies, or mohrgs.
Critical Strike;Div;;1;1 swift action;Personal;Target;You;1 round;;Swift. For 1 round you gain +1d6 damage, doubled threat range, and +4 on attack rolls to confirm critical hits.
Cross of Lightning;Evoc;Electricity;5;1 standard action;Medium (100 ft. + 10 ft./level);Area;Four bolts, 5-ft. wide to medium range (100ft.+10 ft./level) or 10-ft. wide to 50 ft.+5 ft./level;Instantaneous;Reflex half;As lightning bolt, except four lightning bolts that lauch 90 degrees apart from each other.
Crown of Despair;Ench;Mind-Affecting;7;1 standard action;Personal;Target;You;1 round/level;Will negates;All creatures that see you must save or be paralyzed.
Crown Of Might;Tran;;3;1 standard action;Touch;Target;Creature touched;1 hour/level or until discharged (D);Will negates (harmless);Gain +2 Strength, discharge to gain +8 bonus for 1 round.
Crown of Protection;Tran;;3;1 standard action;Touch;Target;Creature touched;1 hour/level or until discharged (D);Will negates (harmless);+1 deflection bonus to AC, +1 resistance bonus on saves
Crown of Veils;Illu;;3;1 standard action;Touch;Target;Creature touched;1 hour/level or until discharged (D);Will negates (harmless);Gain +2 to Disguise and Hide, discharge to gain +8.
Crushing Despair;Ench;Mind-Affecting;4;1 standard action;30 ft.;Area;Cone-shaped burst;1 min./level;Will negates;Subjects take -2 on attack rolls, damage rolls, saves, and checks.
Crushing Hand;Evoc;Force;9;1 standard action;Medium (100 ft. + 10 ft./level);Effect;10-ft. hand;1 round/level (D);None;Large hand provides cover, pushes, or crushes your foes.
Crushing Sphere;Evoc;Force;6;1 standard action;Medium (100 ft. + 10 ft./level);Effect;1-ft.-diameter/level sphere, centered around a creature;1 round/level (D);Reflex negates;Force globe traps and crushes subject for 3d6 points of nonlethal damage per round.
Curse of Impending Blades;Necr;;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;1 min./level;None;Subject takes -2 penalty to AC.
Curse of Spilt Water;Tran;Water;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;Fortitude negates;Transforms an enemy into water.
Curse of the Putrid Husk;Illu;Evil, Fear, Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round + 1d10 minutes;Will negates;Subject is unconscious for 1d10 minutes.
Cutting Hand;Tran;;1;1 standard action;Personal;Target;Your hand;1 round/level (D);;Your hand gains a +2 enhancement bonus and is considered armed.
Cyclonic Blast;Evoc;Air;5;1 standard action;120 ft.;Area;120-ft. line;Instantaneous;Reflex half;Horizontal cyclone deals 1d6/level (max 15d6) damage and initiates a bull rush.
Daggerspell Stance;Abj;;2;1 swift action;Personal;Target;You;1 round/level (D);;Swift. You gain +2 insight bonus on attack and damage if you make a full attack, SR 5 + caster level if you fight defensively, and DR 5/magic if you use the total defense action.
Dance of Ruin;Necr;Evil;2;1 round;Close (25 ft. + 5 ft./2 levels);Area;Spread centered on you;Instantaneous;Reflex half;Nondemons take 2d20 points of damage.
Dancing Chains;Tran;;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One chain per level within range;1 min./level;None;Animates one chain per level.
Dancing Lights;Evoc;Light;0;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Up to four lights, all within a 10-ft.-radius area;1 min. (D);None;Creates torches or other lights.
Dark Way;Illu;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One bridge of force 5 ft. wide, 1 in. thick, and up to 20 ft./level long;1 round/level;None;Creates temporary unbreakable bridge supporting up to 200 lbs./level.
Darkliqht;Evoc;Darkness;1;1 standard action;Touch;Target;One creature or object touched;1 min./level;None;Creates 5-ft.-radius area where all can see without light.
Darkness;Evoc;Darkness;2;1 standard action;Touch;Target;Object touched;10 min./level (D);None;20-ft. radius of supernatural shadow.
Darkvision;Tran;;2;1 standard action;Touch;Target;Creature touched;1 hour/level;None;See 60 ft. in total darkness.
Daylight;Evoc;Light;3;1 standard action;Touch;Target;Object touched;10 min./level (D);None;60-ft. radius of bright light.
Daze;Ench;Mind-Affecting;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One humanoid creature of 4 HD or less;1 round;Will negates;Humanoid creature of 4 HD or less loses next action.
Daze Monster;Ench;Mind-Affecting;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;One living creature of 6 HD or less;1 round;Will negates;Living creature of 6 HD or less loses next action.
Death Armor;Necr;;2;1 standard action;Personal;Target;You;1 round/level;;Black aura damages creatures attacking you.
Death Grimace;Necr;Evil;1;1 standard action;Touch;Target;One corpse;Permanent;None;"Caster leaves magical ""calling card"" on a corpse."
Death Throes;Necr;Force;5;1 standard action;Personal;Target;You;1 hour/level or until discharged;None;Your body explodes when you die.
Decastave;Conj;Force;2;1 standard action;0 ft.;Effect;Quarterstaff of force;1 round/level (D);None;Thundering quarterstaff of force deals 1d6 damage with touch attack.
Deep Breath;Conj;Air;1;1 immediate action;Personal;Target;You;1 round/level;;Your lungs fill with fresh air for the duration of the spell.
Deep Slumber;Ench;Mind-Affecting;3;1 round;Close (25 ft. + 5 ft./2 levels);Area;One or more living creatures within a 10-ft.-radius burst;1 min./level;Will negates;Puts 10 HD of creatures to sleep.
Deeper Darkvision;Tran;;3;1 standard action;Touch;Target;Creature touched;1 hour/level;Will negates (harmless);Subject can see 90 ft. in magical darkness.
Deflect;Abj;Force;2;1 immediate action;Personal;Target;You;1 round or until discharged;;Gain bonus to AC for one attack.
Delusions of Grandeur;Illu;Mind-Affecting;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;10 min./level;Will negates;Subject becomes overconfident and careless.
Depression;Necr;;3;1 standard action;20 ft.;Area;20-ft.-radius burst centered on you;1 round/level;Will negates;Enemies around you become fatigued and take penalties to Will saves.
Depthsurge;Evoc;Water;8;1 standard action;Long (400 ft. + 40 ft./level);Area;20 ft. radius;Instantaneous;Fortitude partial;Water slam deals 2d6 + 1/level damage to all within 20-ft. radius, pushes targets back, sinks ships.
Desert Burial;Evoc;;4;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius spread;Instantaneous;Reflex negates;Buries targets up to their necks in sand.
Desert Diversion;Conj;;4;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Ray;1 min./level;None;Those attempting planar travel are diverted to a random wasteland.
Desiccate;Necr;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;Instantaneous;Fortitude partial;Deals 1d6/2 levels dessication damage and dehydrates living creature.
Desiccating Bubble;Necr;;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;3-ft.-radius sphere of air;1 round/level;Reflex negates;Directable globe of supernaturally dry air which causes evaporative damage to those it engulfs.
Detect Aberration;Div;;2;1 standard action;60 ft.;Area;Cone-shaped emanation;Concentration, up to 1 min./level (D);None;Reveals aberrations within 60 ft.
Detect Dragonmark;Div;;1;1 standard action;60 ft.;Area;Cone-shaped emanation;Concentration, up to 10 min./level (D);None;Detect and identify dragonmarks within 60 ft.
Detect Magic;Div;;0;1 standard action;60 ft.;Area;Cone-shaped emanation;Concentration, up to 1 min./level (D);None;Detects spells and magic items within 60 ft.
Detect Metal and Minerals;Div;;3;1 standard action;60 ft.;Area;Quarter circle emanating from you to the extreme of the range;Concentration, up to 10 min./level (D);None;Find metals and minerals within 60 ft.
Detect Poison;Div;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target or Area;One creature, one object, or a 5-ft. cube;Instantaneous;None;Detects poison in one creature or object.
Detect Scrying;Div;;4;1 standard action;40 ft.;Area;40-ft.-radius emanation centered on you;1 day;None;Alerts you of magical eavesdropping.
